,Reviewer Name,Review Rate,Review Time,Review Comment
33,Minh Nguyễn Ngọc,2 sao,8 tháng trước,"Phía ngoài quá tệ bàn ghế quá dơ, cần phải vệ sinh bàn ghế lại cho sạch"
34,Kien Duong,5 sao,3 năm trước,"Chỗ này mình hay ghé, siêu đông và đặc khách tới mua bánh rất nhiều"
35,Thần SuỗL Lâm,2 sao,4 năm trước,Thường hay phải mất 5k gửi xe khi quán không còn chổ để xe.
36,Phuong Thuy Nguyen,4 sao,3 năm trước,"Không gian đẹp, decor ok và rộng rãi. Thức uống phục vụ nhanh dù quán đông. Tuy nhiên mình ko thích việc vô quán uống ko có chỗ giữ xe miễn phí thì hơi kì."
37,Jason,5 sao,2 tháng trước,"nước ngon giá hợp lý, không gian quán thoáng mát"
38,Justin Ton Huynh,1 sao,2 tháng trước,"Bảo vệ nói hết chỗ để xe kêu gửi siêu thị, vé xe 5k"
39,Huỳnh ST (Diablo),1 sao,6 tháng trước,"Bảo vệ ca lúc 15:45 ngày 23/2 không tôn trọng khách hàng, thái độ hách dịch. Đề nghị đuổi thẳng.
Mình vào không thấy chỗ trống để xe nên quay sang hỏi thì nói ""Lúc đầu vào thấy …"
40,Steve Zeros,2 sao,6 tháng trước,"Chất lượng ổn, bàn ướt mình ngồi đợi 5 phút mới có nhân viên ra dọn dẹp, không có hoặc ít ổ cắm điện. Nhân viên bảo vệ đặc biệt cọc cằn khó tính, tôi vào đây trả tiền để sử dụng dịch vụ của bên các bạn mà cứ như là miễn phí hay đi xin vậy, …"
41,Lê Tấn Lộc,5 sao,2 năm trước,"Ko gian thoáng mát , rộng rãi , mà hầu như các hệ thống của Highlands Coffee đều như vậy , nơi tốt để gặp bạn bè , gặp đối tác làm ăn thì hơi bất tiện vì khá ồn , không có phòng riêng tư như một số cafe sân vườn , ý kiến riêng thôi nha ^_^"
42,Chú Long Vlog,5 sao,một năm trước,"Quán đông, gửi xe phía sau, phía trước đường 3/2 và có cầu vượt, ngồi nhìn cũng lạ lạ. Nước uống cũng như các chi nhánh khác."
43,Đinh Tuấn Anh,3 sao,4 năm trước,"Highland thì cũng như những quán khác, nhưng bảo vệ thái độ ko tốt ! khách vừa tới đã nói hết bàn rồi, chưa biết khách có bạn ở trong hay chưa, nhưng phía trong và ngoài sân vẫn còn chỗ ngồi ! Để xe thì ko thèm hướng dẫn !
Còn lại thì quán ok vị trí tốt, quản lý nhiệt tình"
44,Nguyễn Xuân Hoán,4 sao,một năm trước,"Không gian không chê, đồ uống không chê, tất cả đều tốt."
45,Nguyễn Thanh Trường Can,2 sao,6 tháng trước,"Thái độ phục vụ tệ. Ổ cắm điện ít còn bị hư. Quản lý của hàng xử lý tình huống tệ, cãi vả ông ào trong cửa hàng với khách!"
46,Trieu MinhTu,3 sao,2 năm trước,"Chỗ đậu oto có thu phí. Nhân viên đông nhưng việc bán hàng lâu, gọi ly nước và bánh mì chung nhưng uống nước gần cả tiếng mà chưa thấy bánh mì đâu, hỏi lại nhân viên thì bảo quên. Nhiều khách hàng lâu quá lấy lại tiền ra về"
47,Thanh long Chau,1 sao,6 tháng trước,"Nhân viên phục vụ tốt nhưng xem lại người giữ xe , hình như thuê nhằm giang hồ , và có vẻ ko được bình thường ."
48,Phan Dũng Tiến,5 sao,3 năm trước,Vị trí đẹp. Thiết kế điểm nhấn tốt. Có trương trình khuyến khích tái sử dụng dịch vụ. Giá tốt so với chất lượng cửa hàng.
49,Huy Pham,4 sao,3 năm trước,"Quán nằm vị trí khá đắt địa, nhân viên phục vụ tốt. Món ngon nhất của quán là Trà Sen Vàng. Mình hay hẹn khách giao hàng ở đây!"
50,Phạm Trần Lan Phương,2 sao,8 tháng trước,Mình mới vừa ghé highlands coffee lúc 19g10. Bác bảo vệ đang khoá xe cho khách ở ngoài và kêu chạy vô mình không biết là có lấy phiếu nên đã đi luôn không lấy phiếu vì lúc đó bác bảo vệ còn ở phía ngoài khoá xe cho khách chưa vô. Mình để xe …
51,Nhan Minh Tiến,4 sao,một năm trước,"7:24 sáng thứ Bảy ngày 18.12.2021, 1 ly Americano nóng buổi sáng sảng khoái, không ồn ào vì chỉ vài khách uống buổi sáng sớm."
52,hung hoang,5 sao,một tháng trước,Nhân viên phục vụ vui vẻ nhiệt tình phục vụ tốt
53,Ngọc Hân Cao,1 sao,9 tháng trước,"Quán dơ, ít ổ điện, ồn ào, bàn ghế kê sát nhau và lộn xộn, điều hòa không lạnh, nhưng đều đáng nói hơn là thái độ nhân viên cực kì tệ. Nhân viên không ra dọn bàn thường xuyên. Lúc mình vào order mình vẫn đội nón bảo hiểm, mình order 1 chai …"
54,Thanh Toàn Nguyễn,4 sao,3 năm trước,"Quán rộng, dễ tìm, chỗ để xe khá rộng nhưng khi đông phải gửi trong siêu thị 5k/xe. Thái độ phục vụ tùy vào lượng khách, thức uống tạm chấp nhận được."
55,Seven Music,5 sao,4 năm trước,"Highlands coffee là thương hiệu khá là quen thuộc với tất cả mọi người trên thế giới rồi, nên về chất lượng thì khỏi phải bàn, phong cách phục vụ chuẩn Highlands. Bài viết này mình chỉ đánh giá về địa điểm mà Highlands chọn để phục vụ. Đây …"
56,bach kim,4 sao,một tháng trước,Nhân viên dọn dẹp rất sạch sẽ và CN
57,Hào Shido,1 sao,2 năm trước,"Wifi chia theo phiên mà chậm nhất trong những quán từng đi, xài chưa đến 5p đã ngắt kết nối, 1 phiên lẹ vậy luôn 🤣🤣🤣 …"
58,Toan Cao,4 sao,8 tháng trước,"Quán cafe trong chuối cafe, gửi xe hơi chật, các món ăn uống như các chuỗi trong hệ thống của HL? giá cao do tăng giá các món nước đầu năm 2022."
59,Minh Tiến Ngô,5 sao,3 năm trước,"Quán khá đông vào buổi trưa,bài trí đẹp,thoáng."
60,Lê Anh Tú (WASG Edu),4 sao,4 năm trước,"Không gian rộng, thoải mái. WiFi ok
Cà phê ngon, giá vừa phải."
61,Thanh Tâm Lê,4 sao,9 tháng trước,"Highlands này tồn tại lâu lắm rồi, từ xưa mình còn sinh viên tới giờ vẫn còn. Nói chung cũng ổn, mát mẻ, chú giữ xe nhiệt tình."
62,Thanh Truc,4 sao,4 năm trước,"Mình gần đây hay đi highland ở siêu thị satra nên nói về chi nhánh này thôi ạ.
Nhân viên vẫn lịch sự nhưng ko thân thiện như mấy chi nhánh khác nha. Bạn không nở lấy được một nụ cười luôn. Hôm mình đi trời mưa mang khá nhiều đồ vậy mà bảo …"
63,Hiệp Võ,5 sao,một năm trước,"Quán khá đẹp, trang trí chủ yếu là đèn vàng khá ấm áp."
64,tekky gấu,1 sao,một năm trước,nhân viên mập mập ca làm lúc trưa 8/5 có thái độ kinh thường KH
65,yến phj,4 sao,một năm trước,Vị trí dễ tìm phục vụ khá ok
66,Thanh Toàn Nguyễn,5 sao,2 năm trước,"Phong cách phục vụ hiện đại, không gian rộng, thoáng. Cafe nhiều chủng loại, pha chế ngon và bày trí bắt mắt."
67,Ivy Chu,3 sao,6 năm trước,"Không gian rộng, đẹp. Có khu vực ngồi ngoài trời
Bãi xe khá nhỏ, thường xuyên hết chỗ. Phải gửi xe trong bãi xe của Siêu thị"
68,Bao Trinh Do Vu,1 sao,một năm trước,"Tới lúc 10h, hết chỗ để xe nên nhân viên kêu mình chạy thẳng vào cái sân ở trong, vào đó thì đc bảo vệ nói là Ở đây là sân của công ty nên thu phí, 5k 1 lượt. Ra thắc mắc hỏi nhân viên trông xe, thì nvien kêu Thông cảm vì ngoài này hết chỗ …"
69,Thư Nguyễn Anh,3 sao,11 tháng trước,Bạn lấy món và bác giữ xe cực thân thiện còn bạn thanh toán hqua rất cọc nha. Quán ồn. Cream ly freeze chưa ngon.
70,Kim,5 sao,6 tháng trước,"Quán đẹp , view đẹp , Nước uống tuy mắc nhưng ngon cực kì !"
71,Vy Đỗ Ngọc Nguyễn,1 sao,10 tháng trước,"Nhân viên phục vụ kém và rất thái độ
- Do là mình làm bài thuyết trình về highland và mình vào xin chị làm trong đó quay nhưng mình nói rất lịch sự là chị ơi em chỉ quay 1 bạn order nước thôi và …"
72,Thi Nguyễn Lê Hoàng,1 sao,10 tháng trước,Sẽ không bao giờ quay lại. Lần đầu tiên đi coffee mà bị đối xử như vậy. Mình vào quán lúc 5h và bảo vệ không chỉ chỗ để xe cho mình chỉ nói chạy vô trong và cũng không đưa thẻ xe. Lúc mình ra về k thấy xe mình có lại hỏi thì bảo vệ hét vào …
73,June Hong,2 sao,một năm trước,"Quán cần xem lại thái độ của bảo vệ vào tối ngày 12/07. Không chủ động lấy xe giúp khách, tới khi khách tự lấy, bị vấp nên xém ngã thì mới chạy tới đỡ nhưng nói năng cộc cằn. Sau đó đẩy xe ra giữa lối đi 1 cách bạo lực khiến xe rung lắc, mà …"
74,hang nguyen,5 sao,2 năm trước,Quán siêu đông vào buổi trưa nên bạn nào tìm chỗ nghỉ trưa thì hơi đông chút xíu.
75,廖宁,5 sao,một năm trước,"Mình không kết nối được wifi, nhờ một bạn nhân viên và giám sát thì chỉ được trả lời là do nhiều người kết nối quá mình vào không được chứ không có động thái hỗ trợ gì, nhưng sau đó có bạn hình như mình nhìn không nhầm tên là Ngu Mạch Yến …"
76,Đại Hải,1 sao,4 tháng trước,Nên tươi cười nhiều hơn thay vì khó chịu.
77,Uyên Vũ,1 sao,10 tháng trước,"ghé highland 3/2 gần cầu vượt đường Thành Thái vào buổi tối hôm nay 21/10 mua 2 ly freeze trà xanh mang về mà nó lỏng le lỏng lét, quá nhiều đá và nhạt nhẽo, freeze trà xanh chi nhánh này dở hơn các chi nhánh khác mà mình từng uống rất nhiều, k xứng đáng với giá tiền, quá thất vọng!!"
78,Linh Trịnh,5 sao,3 năm trước,"Trà sen vàng rất ngon luôn. Thích mê 😍
Sẽ còn ủng hộ thêm nữa ạ …"
79,Ánh Nguyễn,1 sao,5 tháng trước,bảo vệ  satramart quận 10 (ca chiều 14/3/2023) bất lịch sự
80,Lê Đỗ Nguyên Thảo,4 sao,4 năm trước,Nước uống của HL thì khỏi chê rồi. Tuy nhiên cửa hàng ở địa chỉ siêu thị Sài Gòn hơi ồn và bảo vệ không được thân thiện cho lắm!
81,Ngọc Trâm Lê Mỹ,5 sao,một năm trước,"PhinDi Chocolate rất ngonnnnn. Một trải nghiệm khi đến mua cà phê trực tiếp tại cửa hàng là được cảm nhận mùi cà phê pha phin rất thơm, nên ngồi chờ lấy cà phê cũng thấy 'đã'."
82,Phuong Quyen,5 sao,2 năm trước,"Không gian mát mẽ, nhân viên nhiệt tình, đồ uống ngon"
83,IRON News,1 sao,một năm trước,"Bao bì mang đi quá tệ, quá bất tiện khi đi xe máy"
84,TL MinhQuan,5 sao,5 năm trước,"Cafe ngon tuyệt vời, có thức ăn nhẹ, đa số nhân viên văn phòng nhiều, chỗ ngồi thoáng mát, thoải mái"
85,Phong Kiều,1 sao,11 tháng trước,Cung cách phục vụ rất tệ. Nhân viên không tôn trọng khách hàng. HL tệ nhất trong hệ thống.Con sâu làm rầu nồi canh.
86,Nguyễn Trung Toàn (Tona.Tuna),5 sao,một năm trước,"Vẫn chuyên nghiệp và tốt như bao Highlands khác nhưng nhân viên ở đây xinh ghê😊
Gửi xe bên cạnh hoặc bãi xe mall nha.
Có không gian ngoài trời nữa, khá mát vì có bóng cây. …"
87,Vinh Quang Phan,4 sao,một năm trước,Quán trung tâm mà có chỗ đậu xe thoải mái thì quá tuyệt. Lại có khu trong nhà và ngoài trời! Món ăn uống theo phong cách hiện đại gắn liền với thương hiệu Highlands Coffee được giới trẻ yêu thích bấy lâu nay!
88,App Free,4 sao,6 năm trước,"Đẹp , chỗ giữ xe hơi nhỏ. phục vụ tốt"
89,QUANG HUY ĐINH,4 sao,5 năm trước,"Không gian chật, ồn, có bảo vệ giữ xe nhưng chỉ vô bãi xe siêu thị gửi."
90,Celestial Light,2 sao,một năm trước,"Quá đông, quá ồn. Cafe cho sữa quá ngọt, không có vị khác. Không kiếm được chỗ ngồi tốt. Gần như không có ổ cắm sạc. WiFi vào phiền phức. Xe phải gửi bên siêu thị mất 5000đ, ai nói ko mất tiền là sai nhé."
91,Nguyen Thong,3 sao,4 năm trước,"Chỗ chật cứng, ko có ghế ngồi, xe phí 5k/chiếc. Mưa ngồi ngoài trời là xác định."
92,Thế Duy,1 sao,một năm trước,"Kêu 2 bánh mì que phô mai thì nhân viên không chịu hâm nóng, đem ra lạnh ngắt ăn bị chột bụng. Hết sức thất vọng."
93,Thuy Vuong,5 sao,một năm trước,"Mình ghé ở đây uống nhìu lần rồi, nhân viên rất dễ thương, không gian thoải mái chỉ là máy lạnh hơi mạnh"
94,Dung Pham,2 sao,một năm trước,"Mình vừa từ trong quán ra lấy xe thì bảo vệ dắt xe và nói cho thu phí giữ xe 5k. Mình và bạn mình đi 2 xe nên mình đưa bảo vệ 20k, đứng chờ thối tiền nhưng bảo vệ ko thối tiền và đi ra chỗ khác. Sau đó mình đang lấy đồ trong cốp ra để về …"
95,Minh Nhựt Nguyễn,5 sao,5 năm trước,"Size nhỏ cafe, cafe sữa cùng giá 29k, bánh mì 19k, bữa sáng :)"
96,Duy Nguyen,5 sao,5 năm trước,Nước ún ngon. Nv nhiet tình
97,nikita linh,1 sao,một năm trước,"Ghé đây cũg nhiều lần nhưg rất thất vọg về cách làm việc của quán
Nước và bánh oder lúc 17h20 mà hơn 17h44 đến quầy hỏi thì vẫn chưa xog
Ủa alo làm tới 20’ mà chưa xog là sao để khách phải đến quầy hỏi thì nói ch lấy …"
98,Oanh Trịnh,4 sao,một năm trước,"Nước uống thì chi nhánh nào cũng như nhau cả.
Vị trí quán dễ tìm, không gian cũng đẹp.
Nhưng khi quán đông, phải gửi xe ở chung cư phía sau, mất thêm phí gửi xe."
99,Hưng Thịnh,1 sao,10 tháng trước,"Chỗ đậu xe vẫn còn
Bảo vệ chỉ vô gửi xe tốn phí
Không bao giờ ghé nữa"
100,Long Nguyễn,1 sao,một năm trước,"Mình đến vào sáng 08/01/2022, chất lượng sản phẩm tốt. Nhưng nhân viên giữ xe của cửa hàng thái độ quá mất dạy, từ lúc vào cũng như lúc ra."
101,Nhanh Huỳnh,4 sao,một năm trước,"Hình ảnh chỉ mang tính chất minh họa.
Trà sen vàng chỗ này cảm giác không ngon bằng mấy chỗ khác, giống trà đường hơn"
102,Chloei Vo,1 sao,một năm trước,"Phục vụ quá chậm, mình kêu chỉ có 2 cái bánh cũng không đưa mình được cái thìa nào để dùng. Để gần nửa tiếng cái máy cũng không hay có nhân viên nào kêu ra nhận bánh, tự ra lấy thì bắt mình đợi thêm vì không có cái thìa nào"
103,Pham Thanh,3 sao,3 năm trước,Có chỗ đậu xe
104,Amity Eira,5 sao,9 tháng trước,"Uống ngon, chỗ ngồi hợp lý để gặp bạn bè, nhiều chương trình khuyến mại."
105,Nguyễn Đình Mạnh,1 sao,11 tháng trước,"Bảo vệ ngáo, nhân viên phục vụ chậm, sắp bàn quá sát. Không có tiêu âm tốt"
106,Cuong Huynh,5 sao,4 năm trước,"Thức uống ngon, địa điểm thuận tiện"
107,Thuan Nguyen,5 sao,một tháng trước,Chỗ hội hợp bạn bè ok
108,Trang Nguyễn,4 sao,4 năm trước,Free trà xanh chưa bao giờ làm tôi thất vọng :))
109,Tu1992 Le,1 sao,2 năm trước,"Đầu tiên. Nhân viên phục vụ quá kém. Cái thứ 2 là làm thiếu món, không có 1 lời xin lỗi. 4 nhân viên mà chỉ 1 người làm . một người ngồi quầy. 2 người giỡn và không đeo khẩu trang. Trong khi tài xế công nghệ ngồi đợi cả chục người. Chỉ 1 …"
110,Nguyen Ba Hoang,5 sao,11 tháng trước,Cà phê ngon và không gian gặp gỡ bạn bè rất thú vị
111,Tien Duong,1 sao,4 năm trước,"Quán chật, phục vụ không được tốt"
112,Chung Tấn Lộc,4 sao,một tháng trước,Không gian rộng
113,Quốc Hùng Nguyễn,1 sao,một năm trước,Miễn phí xe mà kêu vô trong gửi mất tiền gửi xe... Nên tôi đánh giá 1sao vì k hài lòng
114,Mizen,4 sao,5 năm trước,"Cafe sáng vs bánh mì

Lâu rồi nhận được cuộc ĐT rủ đi ăn sáng đột xuất của nhỏ bạn, hẹn ra đây, dặn ăn …"
115,Jickor Nolem,1 sao,8 tháng trước,có cái voucher cũng hông biết xài còn xúi sai cho khách 🥹 …
116,Quý Huỳnh,5 sao,4 năm trước,"Sau lần gặp cuối, em về với người... Bỏ lại anh cô cô đơn giữa chốn này..."
117,Chau Nguyen,4 sao,5 năm trước,Vách kính nhiều nên ồn.
118,Winter,5 sao,một năm trước,Lượng khách khá đông vào buổi sáng tới 12h trưa. Địa điểm thích hợp cho hợp mặt bạn bè.
119,tri ngoc ngo,3 sao,3 năm trước,"Điểm đánh giá của tôi như sau:
Đia điểm: 8/10, dễ tìm
Bãi xe: 8/10, có bãi xe trong, ngoài nhà nhưng còn tốn phí. …"
120,Khanh Nguyen (Luca Khanh),5 sao,2 năm trước,Không khí mát mẻ....!!! Chương trình khuyến mãi tuyệt vời....!!!
121,Nguyễn Long,5 sao,7 tháng trước,"Cafe đậm chất, hương vị tuyệt vời, triệu like cafe"
122,Tai Truong,2 sao,3 năm trước,"Không biết gửi xe bên này thế nào. Đi mấy highlands khác đều có chỗ để xe free. Mới đi thử chổ này, anh gửi xe của quán chỉ gửi kế bên mất 5k nha mọi người."
123,Phen Di,5 sao,2 năm trước,"Quán rộng rãi, thoáng, đồ uống ngon, nhân viên thân thiện, chuyên nghiệp. Mình thích món trà sen vàng và matcha đá xay 😁 …"
124,Minh Nhat,1 sao,10 tháng trước,"Nhân viên không để ý tới đơn hàng , trả lời với khách . Tệ ."
125,Phú Lê,3 sao,3 năm trước,"Mình cảm nhận Highland 3 tháng 2 đồ uống cũng ok. Dịch vụ chăm sóc khách hàng ở đây vô cùng nhanh nhẹn, không gian thoáng mát. View đẹp nhìn thẳng ra mặt tiền đường xe chạy. Đánh giá 3 sao vì Ở đây  chỗ để xe rất nhỏ, ngoài nắng."
126,Van Nguyen,1 sao,5 năm trước,"Viết cho ai dùng mã KM Samsung.
Đã dùng mã KM uống Highland nhiều lần ở nhiều chi nhánh. Nhưng lần đầu đi chi nhánh này, mình dùng mã KM Samsung. Lúc mình order vắng khách, mình dùng 2 mã cho …"
127,Khoa Tran,5 sao,2 năm trước,"Quán có 2 không gian riêng biệt cho bạn lựa chọn, ngoài vườn và máy lạnh. Không gian nào cũng rộng và mát mẻ.Nhân viên phục vụ ok."
128,HUỲNH THANH TÚ (TÚ 3D),5 sao,một năm trước,Cần thêm vị trí giữ xe miễn phí
129,Jenny My,5 sao,5 năm trước,"Giá cả tầm trung, khoảng 10k tới 60k, trời nóng vào đây uống chai nước suối 10k thì mát lạnh, gửi xe miễn phí nhé. Khách vắng, tha hồ làm việc, wifi hơi yếu. Không gian trang trí lịch sự đẹp mắt, ghế nệm êm ái. Hơn nữa, nhân viên dễ mến, …"
130,Minh Huyền,5 sao,5 năm trước,"uống một làn tại đây, trãi nghiệm khá ổn hưng vị không khác so với những chi nhánh cửa hàng khác"
131,Trần Trọng Trí,2 sao,4 năm trước,"Cơ bản chất lượng thì bình thường như bao quán cafe khác, chỉ có bảo vệ và giữ xe có vấn đề, đi uống cafe tốn tiền giữ xe, còn bảo vệ thì không thân thiện để cái cặp trên ghế bảo vệ lại xua xua cái tay, ngồi ăn ngon lành, chỗ trống thì không cho xe vào, hi vọng dịch vụ khá hơn, không bao giờ ghé lại."
132,Minh Nguyễn,4 sao,2 năm trước,"Nằm ở vị trí thuận lợi, chỉ có điều là quán khá đông đúc và ồn ào, vì vậy nên đôi khi hơi chậm trong việc nhận đồ uống và dọn bàn."
133,Bin Bin,1 sao,2 năm trước,"Dịch vụ bảo vệ quá kém, lúc nào ghé cũng yêu cầu khách gửi xe phía trong siêu thị, vừa xa vừa tốn phí. Những lần sau ghé quán khác"
